query_id,answer
70DfDUpwjxB4lzFd,b92ee8f432cec2d1 d722bcda1a555091 bbfd9a8c71d3bd2b 6047e1566a959d3a 355392014208b7bf d7ad9f91504e4d02 2d73dacac243ce62 255fbeaf526a1cc1 603623b4bd9e8f6c deb58d7ad8c27d06 33f8d361a92bdcde 4494aa11cbdc2d65 94c5ec723ea5418f 6042fecdd7753112 9515d1e1ecdac72c a1df0525799ab4b5 fa01652ca5f57d0f e5a240b2eaca4e11 f4e8903d7689e222 73ba3172bc67d2dd d4ebb123b83921c3 82ddaf2c54ef884a 4332513c8fe7e1c9 fa4ba2c2cf71b0b1 14d535285758af89 d01e14d2ffd4ddba 616137eeb40fbedc 347f89be8087d8c7 cf0b70d14b674f8b 6fc4db453f873556 6dfa83ed47d5bd10 3b5ada3ffcacbbf3 f78d7058e1d906eb bee602308dd4d4b3 95571e85156ba0fe c04be97528001251 f077edb575e5d7a5 500f27848ff77d33 585d85c2bbec8c0a 5ac85ac00cfa19c4 0a32e88bbfb35c29 3253f338b45470e5 56157887d3ddab2a 414b206a6ab83aff fe18d6ee0f9c019c fe7d3dc9d1481dde 75368254f36b2c3f f72b045bfec03ccb 638349a35daca252 3423cdff3654c2a6
JTrdTaZJvSiLPkXj,422d3ffdd5bbf626 cbeccbecb1fb8d86 35a0a88ef8547de9 367af128a9ea2a48 431efbc80d59155f 73ab3b0d708ea15e f46f68aaa4d7de38 01fbbfc288257fca 47b2ed1012de011a 427a0a8bda5b9679 c5110c8ce7bc03db e7c70d65edde0559 14fbc6d1a2f9f588 1c6d2079e07f4497 396da9dc8f95a5b4 9227619964c97cd4 bfe712cb2e8abded 58616767e88c583f cacca72b31f50e71 efde386fb8c4f385 1a1f3efb845a2473 8ab5ecc1f8361f90 dfa239d031b11832 664665688c35c1d0 7e18adf210484046 19165fefac3dce47 e9cebe597677e8c6 56415c6efe9263d3 1344796085e92421 fe05abde296f8e90 f50963ef7dda3d19 d73d2694b62a903f 88931c4cd463d124 16ea26ff0aa0450a 0529307cdfbe4a15 413f6384e3c07b64 4a435cc0a254c1fd e08d374366a8ebfb 76f6173834974c44 8703b2a0442c5d25 d297d1ddff22476b f93a5a681e8ac5dc df2bcbda3d2828a9 9fe52cae070e5b78 62a6515c16d06bc9 acf02e654ba15a6f 75be1179c1cf9418 327baa9cdee9f796 411caf020e9adc26 05c617a17b38e1bc
LZCZNoVG4AFUkVRJ,dab52187b4500d9b 3f89b8062dc85f1c 168a9207e80b0be4 d8fce513e4f000a7 10eb6d6da3230bbb c5d21c0e8c1cdb2d d62074dd39caefee 3b370cc603f67947 edecb3695ab88901 c1abf382ab9a79dd d8b9d06b50158c04 5c3ee000a94c97a4 005a523a0efbc62b a9840be7d8930cd1 35a357d7a0777087 0b1c884e6c242ea7 ffa57569baf9bf6e 597e24ccf265b201 53fc0e81b65d6289 2bee03d1a4f2cf4b 965d4e5fe7062419 65f998d38467560a 2bdc0973aa9e6ab6 f687490eb8b38367 0a2a312988225650 d8e11672a3a3b1db be827d807fb7e17c 3a33c8df4eb86a0f 3f155e092f6b52f3 c6e4d72fbdddb0c2 b111a406629bee53 a461751752fcbf14 ab1a2e6b18e6d75a e14f5fb01fd62b4b 295ce76a335b4a58 72ef0fb278f63f15 f15206e5d1387bcc e59f50c4c70d9a74 08a5a810e06168af 3b55d761d507da7e ea5ae87445c6055a 0c82dcb07c43fbc5 33757d777da644a0 ee58129557cfa95b 5ffe557615057a8c 6151abe63cdd1d04 bc5cfc9ad5b36256 bcb840f5c56fa5bf 7347ccc4bdcfde01 d69aa82a671914c3
660ac9QVtXkRxZC3,af91ec4a29b66636 bd2cb4500fad728e 3cce43c811459438 67b2cd847669eb36 a846a2a5241e1180 4c15e7abba063ac5 1e5924dc546b82c1 62be8c7f2a81aa9b e42795fcb72962a5 2ac854a252a20f48 3b781361d56cf997 2babc4b2f86c9376 cd8db508b6a32f86 c0422ed99ac54f44 671d93f74ef80e02 134c28fb359a5712 3e76e71f9e7867a5 f9028eecc17d9dd0 8516cbd43d0677c9 346b159c27ccf883 c9bc66a622f422d2 4816fc8b40866f56 da18e5119a944f0b 8925c1ae30327290 44dc7728a94e7689 74423bba25356133 2e0b9ff1fd85b3f8 1a4d8bce3afd1b56 db04fd609245f490 9d90773c525642b7 69d46fdd81d8231e 5b8181f009aea80e c6348326b4a3b3a0 b8f9bfae96987bda 75c35847212a7416 2f607b7d76572035 fa0c403ed475f47c e5c7643e4cbdca9d 33320f776a31cae2 49e290ab4300cfc4 2c904ee7d302dce6 ee23632037d2462c e58a5b8a701fa09f 0ccc2d9667763ea3 52bb41bec8c09542 a599ec2c2e126e64 be70c36e4ea38458 425d170c6e62e338 d81b2e725afbab1d 6f0bc83ed22cefc1
YgHcM9MVbxKnxD1e,1a62634394544781 60e3b99111bd032b 9c41fe789f98d702 13f58fe9542bdb1a 53f9c8caeeb8111e ba78ad593ec3412d 5008e2463b0c0526 94cce9ac398a8f4a 4ef5ba70fa9baaef b8603925d28a8c99 0f2830cc25924065 38f7cea86e2064f1 442b0ab445da8fa8 407e6f8c8891a01f 3522ccc98c60efd8 615c73ea4c3bfd15 33539f478a2ca02a 0c8a36e283d43f46 4ecc192a6da5b575 c15a07821acfd1de f84e2e12043c211c c539e0661217b8eb e88641d6dcf18b42 757e8ade65e15b16 1f1da5d8632ab8c2 0d7ad55085d6707c 0e9ed42de7e3e879 f6e8862b5885abb5 23bc4a9372c16c12 0da6f81229980968 3869e9d8cef84740 4d0ecdfea29fc153 7c402dba33ee185e f65e19416c15b1d8 5d754b323095ba53 84b84fe92cec800e 4ce0959356bfcabc b24c44fc09c7d50b c07ad8edb13f796c 88232528f158ebbd 0a8d317b1a325bff d22815ff92cd1a47 39e233e8ae81b948 d201edf373168f24 ecc2b48019bceb3f 6f76aa14355a5f44 33d983691b39da66 d007dec4043cdf79 72a8c1adb6d9a137 4a4334250369a151
Fn8uGfYsaUS86ak6,c6ddc1fc25886253 e3f278c4400772bd efd1cbb4bff99da8 1ebd6968953200ee b9982354b0f9b488 61857fa438e615aa 44853116720cebf8 1a0fd0229092f93a 8ff32856b99b223a 6acdbf2dba17b143 e4d73ff84d102409 67046e3c5492df3e 6f62d35257e7a261 38d86757951c36dc f6248730c66364a5 5fd350394c4e65a1 d384b46b93bf53b4 deb8430c13b40452 98d326ba81fe3f24 6f7096b477f898df 8ed055fba8c69bea a3f003d075e3dd83 282c376762a9bce8 55b42f2a9d801f9f 1ff9c80277e5e5bf 5d6fc47a7f0e1abe 017bb20f4533c6f4 9d80c5569bb55f4d a5b439f86471cead 6a254eaa5e3cbcaf cec2129b96de2003 9328083d57dc2ecb c0c959ccb7cc3d15 470c9b814c5f01db 12c906df661153f3 01c152e3cfa3ca08 1ddbc4e38fa8e39e 03528664f8be42dd ee49d0f90bd0642b f3772bb5b115fd55 1e6c849543277e26 cc19dcdc0a74058b 138ebf716562699c 04b3c9d52d80b499 f561c13076e6bf30 ae66c41ef6847433 275d3c1139d393cf 4be7b9267ce30093 2c01198e6a9e5dcf ea72d9308f78f43e
u4hftjenWqHZoMep,c9021873c1f2511b f7ed83d74c968bd4 144d5e7f963f9a97 57dc728ccb851c30 6159d0a9012f6b13 bfc4346cd7fe091f 1a3daa8815cbd80e 0cfabc56b1cd4816 b0896578a785ce44 d0a1eeeb46bda2ef 4ecfd12428c444fa 7ad464454b711615 24370b8d2003ebfc 4ed8df21d84d4a06 83b88c758270dcfe 52b552798a34129b 7ab3158075b21fb5 7a60e1d73f70774c e45c6c6c7afe87d6 118e63c31106f1bf 25fa4c1bd5b509ac 3fe3cfbf10720ad6 5dacf594473fe363 392a1302a737d219 11ae4d1b31ebd7e2 a675e248f712dc73 4638da6d64063c3a bd66d2fbc4a94e48 0d504c98f156bcd5 93095d3a5b2aff5f ee1fefdbbe3b7112 71afe91759fa58b4 b6c7993f1b18d241 c13b880292455ad1 443a7760020d2f58 bef0ed0b50f716d0 bdf6b93538e3573f ced8d6f0c3eb21f3 a2b3661ea3a6680d 9c24d799e4e7b110 05fed51a75fc9378 ba9cc82dfa5fb14d daf681681cb7c998 c687998c6a7bde9f 1c90199571361b73 1b54106a3dee6da4 7117896eec2f5f49 9f338b23aa1b5f26 792d43b3e3a4c97f e1ea0056989466b1
2Ysms04CH0JxFR7M,376b59a44a9b7fde d7383729fe99b54f ff14cbd8d906719a 4eab8b78558b6cb7 d88cf31055f8f2f9 2ec74c681dda0a47 a1ce355c874ba851 0749b0eac68ddfa2 9b746cef1e3ebe28 1a4ad9abea6976bf cd8a55e63e6ab416 fa0facc1035123dc c57e284d60a66f9b 2021792912211cc8 831141431ca6022b d39a335d58289043 9e6898aa5a012ad4 48fb9b26f3ab9085 7cd161f77b76b004 4e2cb3c6fe0f1376 d1254ee38f8a30e6 ba854086d29b49b8 d6161215ffaba51b 27514aceb5aeb5b4 e3f2e9efeb9d1b5a c367d367efd7e4bf 1d3eb18e863c9dbf e27b8a70862f28a9 866937840b197999 4ab5d95e3dbd0660 d765d8511e57bd2d f4bc1d7e5f5c5d38 9972a497c9dcd441 506ac05aea4d3cfa d8f086e366695a07 900d5c304be8d54d 76e489f7f3e74e87 6c61fea7ea64a029 217659951ac51ef7 a1200d28ea7ff6a1 28f13e19ea234c67 eb692789f174c1b1 b609df63feb3c0cc 17e2f34cbfa91878 f54679bd6692ad4c 68e74309d8a6385d 68a5e3bc6800acb2 5da669b95c295c64 04c62c23d680c113 7dfeb02fb54adeeb
C87NmbDEECz55BdJ,503fa42b3135b07a 47d69ab911f7e876 42b32e2a4f2e1a0a 772bdac5eb711ff6 94c4ccd762aae19f 985dc437fea08791 8d368cec78617ab7 24f65a1ed155d3f6 d93f9fd25c34020e c110cd29cc7b359f 639d85039afd302d deb926c50529931b 8e27e0145ab2d9ee 312eb6d5e3c97fe5 60da3b17af6c67c6 58c8bb4cda560a90 d53ed1b5ee04124b 7c1fd27bf3023a09 86de71c66dd2773e 17d852af377fc179 e0f567b0b56f901d 1210ead0ad9cacdf 3482673a7d6aceca c143762ac93699b4 d5481806b6e8dfde 9f69c8903ff81799 a2fe5220900a341a a317a15b20ded8b5 0489ab346368fb43 77b7b1e4713c0a38 7d3079ea89ea3327 c91e07de79c2df3a 4f5b402688684e75 38b4dd8222de9215 6faa3a8aa70de72f ae71662e1cd76c33 e10ac87f506d128c 03d74f1e16c5cb36 2266f54d8a85ab00 41206f1973ec29eb 776e60e861a7981b 657d50165b7f7e8d 129061ce491b9036 102b9907088f7929 325cb0e9cc186e77 010db753a547e8e0 19ff6fd297412946 104da90f582eb10b 5bee8aed3480d143 45efb16722b82bb7
bTF8nFanljgh7MYg,12f8eb8fc5bcf830 e1a509061db4365e 8673e52d7a10e87d ffb293d728ad43a6 45751ba9f5ef2a7b 3b1daa74cc3b525b 95d6e5ef0d0d0024 1ef0d3d4bf13d4e5 a2e5965b7fb44ba0 bc6fe8709b827527 495994dc327cbdd5 6f9ecabf50905914 adb24f7adbef70ff 5fe9106b02d139f8 2e07853eb7febd93 88c1ca26292dbdff 09e9fea66d9b18ed 627ca4f7dc9fe638 a37577e9aafbd972 33de3813f4dac961 ff0fa20dc2ab50f5 b62d88317a244215 070b67d8d87a7d16 8fccb5f577dc8cc3 a7805f280da53d7e e7df9ada231ef716 1ae5b0ec3a53ace4 c837f687e8368057 4382906f52eed217 d7417a1af0d46e1a de800bef25ee3993 f1a94922489fe1ae 1555a20631f724fe 0a069fb7fda43dee 0405b6a906144aec eae17adc93855584 1f9673dcc275ea7d 87c862e5fc5c2bd8 01bb8ec7985a5a62 41064ef7fba64baa dbd51934c00ae7e4 4101c6d96048d5d3 7e956132fdb6055d 5b1a6750012bf2ca 69599b618b80afe7 1b9f35bc027398e9 2d4b67006c34f71e c329ed775b745533 ab7e197209e40355 24f232fbdec5abd3
